gene	species
GUT_GENOME000008_00099	100003
GUT_GENOME000008_00104	100003
GUT_GENOME000008_00105	100003
GUT_GENOME000008_00107	100003
GUT_GENOME000008_00111	100003
GUT_GENOME000008_00116	100003
GUT_GENOME000008_00129	100003
GUT_GENOME000008_00133	100003
GUT_GENOME000008_00139	100003
GUT_GENOME000008_00141	100003
GUT_GENOME000008_00152	100003
GUT_GENOME000008_00156	100003
GUT_GENOME000008_00158	100003
GUT_GENOME000008_00261	100003
GUT_GENOME000008_00262	100003
GUT_GENOME000008_00267	100003
GUT_GENOME000008_00276	100003
GUT_GENOME000008_00288	100003
GUT_GENOME000008_00312	100003
GUT_GENOME000008_00313	100003
GUT_GENOME000008_00316	100003
GUT_GENOME000008_00346	100003
GUT_GENOME000008_00352	100003
GUT_GENOME000008_00360	100003
GUT_GENOME000008_00362	100003
GUT_GENOME000008_00364	100003
GUT_GENOME000008_00376	100003
GUT_GENOME000008_00380	100003
GUT_GENOME000008_00406	100003
GUT_GENOME000008_00437	100003
GUT_GENOME000008_00441	100003
GUT_GENOME000008_00442	100003
GUT_GENOME000008_00446	100003
GUT_GENOME000008_00449	100003
GUT_GENOME000008_00457	100003
GUT_GENOME000008_00494	100003
GUT_GENOME000008_00500	100003
GUT_GENOME000008_00504	100003
GUT_GENOME000008_00532	100003
GUT_GENOME000008_00633	100003
GUT_GENOME000008_00642	100003
GUT_GENOME000008_00656	100003
GUT_GENOME000008_00657	100003
GUT_GENOME000008_00660	100003
GUT_GENOME000008_00794	100003
GUT_GENOME000008_00800	100003
GUT_GENOME000008_00823	100003
GUT_GENOME000008_00853	100003
GUT_GENOME000008_00858	100003
GUT_GENOME000008_00860	100003
GUT_GENOME000008_00873	100003
GUT_GENOME000008_01014	100003
GUT_GENOME000008_01094	100003
GUT_GENOME000008_01118	100003
GUT_GENOME000008_01148	100003
GUT_GENOME000008_01156	100003
GUT_GENOME000008_01165	100003
GUT_GENOME000008_01222	100003
GUT_GENOME000008_01232	100003
GUT_GENOME000008_01237	100003
GUT_GENOME000008_01272	100003
GUT_GENOME000008_01290	100003
GUT_GENOME000008_01385	100003
GUT_GENOME000008_01387	100003
GUT_GENOME000008_01406	100003
GUT_GENOME000008_01414	100003
GUT_GENOME000008_01416	100003
GUT_GENOME000008_01556	100003
GUT_GENOME000008_01584	100003
GUT_GENOME000008_01590	100003
GUT_GENOME000008_01619	100003
GUT_GENOME000008_01645	100003
GUT_GENOME000008_01647	100003
GUT_GENOME000008_01655	100003
GUT_GENOME000008_01670	100003
GUT_GENOME000008_01671	100003
GUT_GENOME000008_01684	100003
GUT_GENOME000008_01793	100003
GUT_GENOME000008_01800	100003
GUT_GENOME000008_01803	100003
GUT_GENOME000008_01806	100003
GUT_GENOME000008_01822	100003
GUT_GENOME000008_01839	100003
GUT_GENOME000008_01855	100003
GUT_GENOME000008_01858	100003
GUT_GENOME000008_01872	100003
GUT_GENOME000008_01874	100003
GUT_GENOME000008_01892	100003
GUT_GENOME000008_01900	100003
GUT_GENOME000008_01909	100003
GUT_GENOME000008_01913	100003
GUT_GENOME000008_01917	100003
GUT_GENOME000008_01942	100003
GUT_GENOME000008_01948	100003
GUT_GENOME000008_01974	100003
GUT_GENOME000008_02008	100003
GUT_GENOME000008_02017	100003
GUT_GENOME000008_02028	100003
GUT_GENOME000008_02066	100003
GUT_GENOME000008_02072	100003
GUT_GENOME000008_02110	100003
GUT_GENOME000008_02121	100003
GUT_GENOME000008_02139	100003
GUT_GENOME000008_02143	100003
GUT_GENOME000008_02196	100003
GUT_GENOME000008_02211	100003
GUT_GENOME000008_02225	100003
GUT_GENOME000008_02229	100003
GUT_GENOME000008_02230	100003
GUT_GENOME000008_02442	100003
GUT_GENOME000008_02453	100003
GUT_GENOME000008_02465	100003
GUT_GENOME000008_02468	100003
GUT_GENOME000008_02526	100003
GUT_GENOME000008_02537	100003
GUT_GENOME000008_02639	100003
GUT_GENOME000008_02709	100003
GUT_GENOME000590_00204	100003
GUT_GENOME000590_00642	100003
GUT_GENOME000590_00867	100003
GUT_GENOME000590_01620	100003
GUT_GENOME000590_02332	100003
GUT_GENOME000824_00593	100003
GUT_GENOME000824_00915	100003
GUT_GENOME000824_02533	100003
GUT_GENOME000824_02555	100003
GUT_GENOME001963_01187	100003
GUT_GENOME001963_01405	100003
GUT_GENOME003349_00063	100003
GUT_GENOME003349_00193	100003
GUT_GENOME003349_00462	100003
GUT_GENOME003349_00551	100003
GUT_GENOME003349_00692	100003
GUT_GENOME003349_01057	100003
GUT_GENOME003349_01068	100003
GUT_GENOME003349_01120	100003
GUT_GENOME003349_01173	100003
GUT_GENOME003349_01176	100003
GUT_GENOME003349_01294	100003
GUT_GENOME003349_01627	100003
GUT_GENOME004375_02087	100003
GUT_GENOME004485_00099	100003
GUT_GENOME004485_00441	100003
GUT_GENOME004485_00444	100003
GUT_GENOME004485_00980	100003
GUT_GENOME004485_01031	100003
GUT_GENOME004616_01894	100003
GUT_GENOME004616_01897	100003
GUT_GENOME004707_00692	100003
GUT_GENOME004707_00810	100003
GUT_GENOME004707_01020	100003
GUT_GENOME004831_00346	100003
GUT_GENOME004831_00740	100003
GUT_GENOME004831_01449	100003
GUT_GENOME005230_00155	100003
GUT_GENOME005230_00287	100003
GUT_GENOME005230_00536	100003
GUT_GENOME005230_00747	100003
GUT_GENOME005230_00945	100003
GUT_GENOME005591_00698	100003
GUT_GENOME005591_00868	100003
GUT_GENOME005591_00902	100003
GUT_GENOME005591_01552	100003
GUT_GENOME005742_02071	100003
GUT_GENOME005985_00194	100003
GUT_GENOME005985_00348	100003
GUT_GENOME005985_00786	100003
GUT_GENOME005985_01897	100003
GUT_GENOME006336_00188	100003
GUT_GENOME006336_00231	100003
GUT_GENOME006336_00383	100003
GUT_GENOME006336_01203	100003
GUT_GENOME006336_01363	100003
GUT_GENOME006336_01677	100003
GUT_GENOME006336_01679	100003
GUT_GENOME006336_01684	100003
GUT_GENOME006336_01824	100003
GUT_GENOME006521_00338	100003
GUT_GENOME006521_00790	100003
GUT_GENOME007125_01412	100003
GUT_GENOME007125_01642	100003
GUT_GENOME007125_01928	100003
GUT_GENOME007414_00079	100003
GUT_GENOME007414_01396	100003
GUT_GENOME007504_00248	100003
GUT_GENOME007504_00577	100003
GUT_GENOME007504_00994	100003
GUT_GENOME007690_01513	100003
GUT_GENOME007690_02132	100003
GUT_GENOME007855_00885	100003
GUT_GENOME007911_01166	100003
GUT_GENOME008217_00607	100003
GUT_GENOME008553_01163	100003
GUT_GENOME008846_00473	100003
GUT_GENOME009246_00056	100003
GUT_GENOME009729_00243	100003
GUT_GENOME009729_01540	100003
GUT_GENOME009997_00475	100003
GUT_GENOME010314_01816	100003
GUT_GENOME010346_00614	100003
GUT_GENOME010346_02173	100003
GUT_GENOME010531_02236	100003
GUT_GENOME010643_00048	100003
GUT_GENOME012169_00682	100003
GUT_GENOME012961_00346	100003
GUT_GENOME016110_01245	100003
GUT_GENOME016175_00257	100003
GUT_GENOME016315_01847	100003
GUT_GENOME016315_01900	100003
GUT_GENOME016818_02196	100003
